"","game_id","team_1","team_2","win_1","win_2","total_active_stars","cum_final_score","total_views"
"1",21600001,"CLE","NYK",0,0,4,205,57691
"2",21600002,"POR","UTA",0,0,0,217,40740
"3",21600003,"GSW","SAS",0,0,5,229,60428
"4",21600004,"MIA","ORL",0,0,0,204,22756
"5",21600005,"DAL","IND",0,0,1,251,33922
"6",21600006,"BOS","BKN",0,0,1,239,23947
"7",21600007,"TOR","DET",0,0,2,200,14887
"8",21600008,"MIL","CHA",0,0,2,203,12046
"9",21600009,"MIN","MEM",0,0,1,200,21853
"11",21600011,"PHI","OKC",0,0,1,200,42455
"12",21600012,"PHX","SAC",0,0,1,207,14435
"13",21600013,"HOU","LAL",0,0,1,234,34087
"14",21600014,"ATL","WAS",0,0,2,213,27848
"15",21600015,"BOS","CHI",100,0,2,204,50539
"16",21600016,"SAC","SAS",100,100,2,196,27634
"17",21600017,"LAC","POR",0,100,1,220,29674
"18",21600018,"CLE","TOR",100,100,5,185,48951
"19",21600019,"BKN","IND",0,100,1,197,23043
"20",21600020,"ORL","DET",0,0,0,190,10691
"21",21600021,"PHX","OKC",0,100,1,223,37236
"22",21600022,"MIA","CHA",100,100,1,188,12886
"24",21600024,"LAL","UTA",100,0,0,185,25043
"25",21600025,"NOP","GSW",0,0,5,236,46471
"28",21600028,"NYK","MEM",0,100,2,215,32002
"29",21600029,"CLE","ORL",100,0,3,204,31859
"30",21600030,"CHI","IND",100,50,2,219,22190
"31",21600031,"MIL","BKN",0,50,1,218,21567
"32",21600032,"NOP","SAS",0,100,2,177,23391
"33",21600033,"DEN","POR",100,50,0,228,27076
"34",21600034,"MIN","SAC",0,50,1,209,22179
"35",21600035,"LAC","UTA",100,50,1,163,28903
"36",21600036,"GSW","PHX",50,0,4,206,50617
"37",21600037,"MIA","SAS",50,100,1,205,32314
"38",21600038,"MIL","DET",50,50,1,181,12556
"39",21600039,"MEM","WAS",50,0,2,215,14195
"40",21600040,"LAL","OKC",50,100,1,209,36658
"41",21600041,"DAL","HOU",0,50,1,185,24543
"42",21600042,"DEN","TOR",50,50,2,207,24322
"43",21600043,"CHI","BKN",100,33.33,1,206,33346
"44",21600044,"ATL","SAC",100,66.67,2,201,23520
"45",21600045,"LAC","PHX",100,0,1,214,22836
"46",21600046,"ORL","PHI",0,0,0,204,21285
"47",21600047,"CLE","HOU",100,66.67,4,248,45160
"51",21600051,"NOP","MIL",0,33.33,2,230,14356
"52",21600052,"MIN","MEM",0,66.67,1,196,12816
"54",21600054,"GSW","POR",66.67,66.67,4,231,37632
"55",21600055,"TOR","WAS",66.67,0,3,216,18661
"56",21600056,"PHI","CHA",0,66.67,1,202,12396
"57",21600057,"BKN","DET",25,75,0,210,12283
"58",21600058,"HOU","NYK",50,33.33,2,217,22497
"59",21600059,"ATL","LAL",100,25,1,239,22293
"60",21600060,"NOP","MEM",0,50,2,172,11902
"62",21600062,"DAL","UTA",0,50,0,178,10241
"64",21600064,"LAC","OKC",100,100,2,168,32263
"65",21600065,"ORL","SAC",25,40,1,196,19494
"67",21600067,"DEN","MIN",33.33,33.33,0,201,15912
"68",21600068,"BOS","CLE",75,100,4,250,35052
"70",21600070,"ATL","WAS",75,0,2,187,21556
"71",21600071,"MIA","TOR",50,75,2,183,16590
"72",21600072,"BKN","CHA",40,75,1,194,12057
"74",21600074,"LAC","MEM",75,60,2,187,11167
"75",21600075,"NOP","PHX",0,20,1,223,19451
"76",21600076,"DAL","POR",0,40,0,200,12324
"77",21600077,"SAS","UTA",80,60,1,186,18885
"78",21600078,"GSW","LAL",80,40,4,214,50226
"79",21600079,"MIN","OKC",25,80,1,204,34055
"80",21600080,"CLE","PHI",100,0,3,203,54229
"81",21600081,"ORL","WAS",40,25,0,174,13713
"83",21600083,"CHI","IND",60,40,2,205,17387
"84",21600084,"ATL","HOU",60,60,2,209,19454
"85",21600085,"MIL","SAC",60,33.33,2,208,14313
"86",21600086,"LAC","SAS",80,83.33,2,208,35096
"87",21600087,"NYK","UTA",40,50,2,223,32867
"88",21600088,"POR","MEM",50,50,1,194,22621
"89",21600089,"SAC","TOR",28.57,80,3,187,19734
"90",21600090,"DAL","MIL",0,66.67,1,161,19651
"91",21600091,"BOS","DEN",60,40,1,230,13062
"92",21600092,"LAL","PHX",50,33.33,0,227,23222
"94",21600094,"HOU","WAS",50,20,2,220,20057
"95",21600095,"IND","CHA",50,80,2,222,13954
"97",21600097,"MIA","OKC",40,83.33,1,182,21952
"98",21600098,"LAC","DET",83.33,66.67,1,196,14044
"99",21600099,"NOP","GSW",0,66.67,5,222,42524
"100",21600100,"ATL","CLE",66.67,100,4,216,44960
"101",21600101,"MIN","BKN",20,33.33,0,229,18683
"102",21600102,"DEN","MEM",50,42.86,1,215,16643
